################################################################################
# Copyright (c) 2004-2007 by Tensilica Inc.  ALL RIGHTS RESERVED.              #
# These coded instructions, statements, and computer programs are the          #
# copyrighted works and confidential proprietary information of Tensilica Inc. #
# They may not be modified, copied, reproduced, distributed, or disclosed to   #
# third parties in any manner, medium, or form, in whole or in part, without   #
# the prior written consent of Tensilica Inc.                                  #
################################################################################
# Tech     OpCond    Mem    Words Bits  Mux     Pcr     Pcw     Pci      Pa      Pd       Pleak       Area
130g       Typical   ram       32   19    4  22.560  21.195   0.397   0.742   0.084       2.437   33265.59
130g       Typical   ram       32   20    4  23.437  22.000   0.412   0.770   0.082       2.525   34208.06
130g       Typical   ram       32   21    4  24.315  22.804   0.428   0.798   0.081       2.613   35327.67
130g       Typical   ram       32   22    4  25.192  23.609   0.443   0.826   0.080       2.701   36270.14
130g       Typical   ram       32   23    4  26.070  24.413   0.458   0.854   0.080       2.789   37212.61
130g       Typical   ram       32   24    4  26.948  25.218   0.473   0.883   0.079       2.877   38155.08
130g       Typical   ram       32   25    4  27.825  26.022   0.488   0.911   0.078       2.965   39274.69
130g       Typical   ram       32   26    4  28.703  26.827   0.503   0.939   0.077       3.053   40217.16
130g       Typical   ram       32   27    4  29.580  27.631   0.518   0.967   0.077       3.141   41159.63
130g       Typical   ram       32   28    4  30.458  28.436   0.533   0.995   0.076       3.229   42102.10
130g       Typical   ram       32   32    4  33.968  31.654   0.594   1.108   0.074       3.581   46049.12
130g       Typical   ram       32   64    4  62.002  57.352   1.081   2.019   0.067       6.398   81760.10
130g       Typical   ram       32  128    4 118.990 108.741   2.075   3.874   0.064      12.032  162142.95
130g       Typical   ram       64    4    4   9.838   9.564   0.179   0.279   0.179       1.276   20170.44
130g       Typical   ram       64    8    4  13.344  12.813   0.240   0.374   0.120       1.650   24492.54
130g       Typical   ram       64   12    4  16.851  16.063   0.301   0.468   0.100       2.024   28814.65
130g       Typical   ram       64   16    4  20.357  19.312   0.362   0.563   0.091       2.397   33136.75
130g       Typical   ram       64   17    4  21.234  20.125   0.377   0.587   0.089       2.491   34362.75
130g       Typical   ram       64   18    4  22.110  20.937   0.393   0.611   0.087       2.584   35394.79
130g       Typical   ram       64   19    4  22.987  21.749   0.408   0.634   0.086       2.678   36426.82
130g       Typical   ram       64   20    4  23.863  22.562   0.423   0.658   0.085       2.771   37458.86
130g       Typical   ram       64   21    4  24.740  23.374   0.438   0.682   0.083       2.865   38684.86
